,Price
0,1480000.0
1,1035000.0
2,850000.0
3,941000.0
4,1876000.0
5,1636000.0
6,1097000.0
7,1350000.0
8,1172500.0
9,1310000.0
10,1176500.0
11,955000.0
12,890000.0
13,1100000.0
14,1315000.0
15,1447500.0
16,1290000.0
17,1290000.0
18,1180000.0
19,1195000.0
20,1012500.0
21,1030000.0
22,1000000.0
23,1050000.0
24,1242000.0
25,855000.0
26,1402500.0
27,1375000.0
28,911000.0
29,1190000.0
30,1000000.0
31,1646000.0
32,760000.0
33,1346000.0
34,1300000.0
35,935000.0
36,1160000.0
37,1150000.0
38,1720000.0
39,1705000.0
40,1190000.0
41,840000.0
42,1740000.0
43,1195000.0
44,1200000.0
45,726000.0
46,1325000.0
47,1300000.0
49,1740000.0
50,1210000.0
51,1380000.0
52,1680000.0
53,1472000.0
54,1436000.0
55,1195000.0
56,1650000.0
57,1830000.0
58,840000.0
59,603000.0
60,700000.0
61,600000.0
62,500000.0
63,720000.0
64,785000.0
65,752000.0
66,440000.0
67,755000.0
68,462500.0
69,675000.0
70,1042000.0
71,910000.0
72,773000.0
73,810000.0
74,715000.0
75,790000.0
76,825000.0
77,685000.0
78,805000.0
79,612000.0
80,978000.0
81,720000.0
82,765000.0
83,900000.0
84,872500.0
85,720000.0
86,985000.0
87,640000.0
88,961000.0
89,845000.0
90,1250000.0
91,1026000.0
92,850000.0
93,730000.0
94,905000.0
95,650000.0
96,856000.0
97,700000.0
98,454000.0
99,1000001.0
100,1064000.0
101,860000.0
102,850000.0
103,975500.0
104,880000.0
105,1275000.0
106,1455000.0
107,2850000.0
108,1850000.0
109,1436000.0
110,1550000.0
111,1800000.0
112,2120000.0
113,2100000.0
114,1300000.0
115,2575000.0
116,1322500.0
117,1562500.0
118,2000000.0
119,1900000.0
120,2800000.0
121,2000000.0
123,1340000.0
124,1801000.0
126,2140000.0
127,1750000.0
128,980000.0
129,2030000.0
130,1740000.0
131,985000.0
132,1700000.0
133,2810000.0
134,2130000.0
135,2950000.0
136,2150000.0
137,2035000.0
138,1500000.0
139,1190000.0
140,1535000.0
141,2905000.0
142,1380000.0
143,2120000.0
144,2015000.0
145,1800000.0
146,1505000.0
147,1900000.0
149,2340000.0
150,2225000.0
151,765000.0
152,730000.0
153,730000.0
154,593000.0
155,816000.0
156,720000.0
157,670000.0
158,685000.0
159,600000.0
160,600000.0
161,463000.0
162,660000.0
163,560000.0
164,625000.0
165,791000.0
166,541000.0
167,760000.0
168,840000.0
169,460000.0
170,800000.0
171,420000.0
172,700000.0
173,580000.0
174,621000.0
175,570000.0
176,787000.0
177,820000.0
178,600000.0
179,613000.0
180,905000.0
181,675000.0
182,760000.0
183,2000000.0
184,1492000.0
185,1717500.0
186,2840000.0
187,2000000.0
188,1540000.0
189,820000.0
190,1830000.0
191,2100000.0
192,865000.0
193,1900000.0
194,1485000.0
195,1950000.0
196,1285000.0
197,1975000.0
198,2345000.0
199,2220000.0
200,2750000.0
201,1800000.0
202,1680000.0
203,1170000.0
204,520000.0
205,1525000.0
206,720000.0
207,1120000.0
208,780000.0
210,630000.0
211,683500.0
212,580000.0
213,1335000.0
214,800000.0
215,1070000.0
216,605000.0
217,743000.0
218,447000.0
219,580000.0
220,712000.0
221,840000.0
222,980000.0
223,605100.0
224,880000.0
225,577000.0
226,1030000.0
227,605000.0
228,753000.0
229,857000.0
230,1500000.0
231,900000.0
232,740000.0
233,931000.0
234,535600.0
235,840000.0
236,1480000.0
237,600000.0
238,597500.0
239,1165000.0
240,1295000.0
241,853000.0
242,670000.0
243,1020000.0
244,1280000.0
245,1030000.0
246,1005000.0
247,1225000.0
248,660000.0
249,767000.0
250,890000.0
251,935000.0
252,1005000.0
253,820000.0
254,1360000.0
255,950000.0
256,913000.0
257,1248500.0
258,920000.0
259,801250.0
260,1085000.0
261,781000.0
262,750000.0
263,1405000.0
264,683000.0
265,623000.0
266,588000.0
267,710000.0
268,875000.0
269,700000.0
270,650000.0
271,708000.0
272,965000.0
273,680000.0
274,770000.0
275,923000.0
276,693000.0
277,620000.0
278,728500.0
279,931000.0
280,988000.0
281,590000.0
282,815000.0
283,970000.0
284,760000.0
285,1200000.0
286,700000.0
287,625000.0
288,292000.0
289,916000.0
290,750000.0
291,910000.0
292,900000.0
293,585000.0
294,870000.0
295,875000.0
297,1030000.0
298,830000.0
299,805000.0
300,1070000.0
301,1001000.0
302,770000.0
303,880000.0
304,980000.0
305,970000.0
306,791000.0
307,1939000.0
308,1525000.0
309,1586000.0
310,1210000.0
311,2801000.0
312,1800000.0
313,2200000.0
315,1125000.0
316,2250000.0
317,2360000.0
318,2365000.0
319,1300000.0
320,1900000.0
321,1285000.0
325,2000000.0
326,2810000.0
327,1859000.0
328,1200000.0
329,2120000.0
332,1550000.0
333,1850000.0
334,1480000.0
336,1460000.0
337,1726000.0
338,3000000.0
340,940000.0
341,1850000.0
342,1284000.0
343,971000.0
344,710000.0
346,750000.0
347,1053000.0
348,1377000.0
349,970000.0
350,940000.0
351,685000.0
352,1230000.0
353,910000.0
354,770000.0
355,960000.0
356,890000.0
357,1440000.0
358,955000.0
359,1000000.0
360,1435000.0
361,1425000.0
362,955000.0
363,1255000.0
364,1640000.0
365,1430000.0
366,610000.0
367,890000.0
368,1480000.0
369,1150000.0
370,1350000.0
371,1905000.0
372,1037500.0
373,1050000.0
374,1010000.0
375,1430000.0
376,1291000.0
377,1130000.0
378,1135000.0
379,950000.0
380,1345000.0
381,1381500.0
382,940000.0
383,995000.0
384,705000.0
385,1110000.0
386,1410000.0
387,1305000.0
388,932500.0
389,965000.0
390,1215000.0
391,545000.0
392,1705000.0
393,925000.0
394,2100000.0
395,1435000.0
396,1020000.0
398,1490000.0
399,1230000.0
400,1050000.0
401,1500000.0
402,1750000.0
403,1230000.0
404,819000.0
405,1375000.0
406,1100000.0
407,865000.0
408,1370000.0
409,1082000.0
410,1250000.0
411,920000.0
412,1035000.0
413,1310000.0
414,1185000.0
415,870000.0
416,1130000.0
417,1151000.0
418,2650000.0
419,1670000.0
420,1575000.0
421,1555000.0
422,1100000.0
423,1337000.0
425,2215000.0
426,1518000.0
427,1710000.0
428,1655000.0
429,1550000.0
430,1665000.0
431,1445000.0
432,968000.0
433,1500000.0
435,1500000.0
436,1800000.0
437,1830000.0
438,1415000.0
439,1440000.0
440,1250000.0
441,1422000.0
442,1600000.0
443,1860000.0
444,1790000.0
445,1950000.0
446,1600000.0
447,1650000.0
448,1450000.0
449,925000.0
450,1912500.0
451,2085000.0
452,1655000.0
453,1800000.0
454,1880000.0
455,2405000.0
456,2170000.0
457,1850000.0
458,1972500.0
459,1775000.0
460,2299500.0
461,1550000.0
462,1555000.0
463,1210000.0
464,1840000.0
466,995000.0
467,1250000.0
468,1045000.0
469,1200000.0
470,1075000.0
471,1500000.0
472,1120000.0
473,700000.0
474,761000.0
475,1270000.0
476,1510000.0
477,1365000.0
478,1100000.0
479,1415000.0
480,690000.0
481,1631000.0
482,1500000.0
483,1060000.0
484,1529500.0
485,600000.0
486,785000.0
487,1240000.0
488,700000.0
489,1350000.0
490,1110000.0
491,1305000.0
492,855000.0
493,900500.0
494,1200000.0
495,830000.0
496,1495000.0
497,1126000.0
498,890000.0
499,1225000.0
500,1680000.0
501,1650000.0
502,860000.0
503,1425000.0
504,1420000.0
505,1450000.0
507,1540000.0
508,1575000.0
509,850000.0
510,851000.0
511,848000.0
512,1155000.0
513,670000.0
514,1200000.0
515,636000.0
516,680000.0
517,1160000.0
518,750000.0
519,627500.0
520,950000.0
521,650000.0
522,725000.0
523,615000.0
524,845000.0
525,585000.0
526,440000.0
527,850000.0
528,850000.0
529,705000.0
530,1100000.0
531,892500.0
532,695000.0
533,680000.0
534,500000.0
535,730000.0
536,875000.0
537,850000.0
538,635000.0
539,762000.0
540,790000.0
541,605000.0
542,805000.0
543,890000.0
544,795000.0
545,634000.0
546,642000.0
547,863000.0
548,740000.0
549,881000.0
550,850000.0
551,1300000.0
552,1250000.0
553,760000.0
554,1600000.0
555,825000.0
556,1000000.0
557,945000.0
558,1085000.0
559,750000.0
560,835000.0
561,820000.0
562,680000.0
563,720000.0
564,1107500.0
565,934000.0
566,665000.0
567,750000.0
568,800000.0
569,1819000.0
570,1193000.0
571,981000.0
572,1690000.0
